population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2182.05666550495,2549.2172074589503,1845.48357304948
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,744.8216217017999,843.9495534846899,651.48618676999
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,294,All causes,3,Rate,1994,94529.86764155244,95475.38700466922,93754.69184172447
1,All Population,5,Prevalence,89,Netherlands,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,955.5314752112199,1072.64368777635,801.2120300926099
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1995,580.71693100355,666.46647262123,490.73313979606
1,All Population,5,Prevalence,46,Croatia,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,691.80858277573,793.4738326701499,589.99667645455
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,2662.29577934729,3119.51032524176,2223.35396646512
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,669.42062338889,851.40756829831,520.74118412446
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,5254.85081171232,5663.49372853331,4807.02037881528
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,467.12570717423006,615.08989073952,364.10570113274
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,713.51048448371,1448.52011314321,336.41406668946996
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,1116.06537384643,1578.35854159338,781.50946878822
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,563.36658001229,712.93005289657,420.31245727311006
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,559,Schizophrenia,3,Rate,1995,326.9312202089,405.54360409712,259.78598614018
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1995,2191.03837540867,2590.34627258632,1846.69361102471
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,561,Drug use disorders,3,Rate,1995,752.33583511244,853.23690489464,657.56175676457
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,294,All causes,3,Rate,1994,94058.09016634974,94983.52529015925,93273.09633685288
1,All Population,5,Prevalence,46,Croatia,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,357.94703543125,440.96296015527,277.57060092467
1,All Population,5,Prevalence,46,Croatia,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2599.82379842827,3003.4202531515098,2223.7620510178203
1,All Population,5,Prevalence,46,Croatia,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,746.95121278784,854.50863764878,636.37826010868
1,All Population,5,Prevalence,78,Denmark,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,962.7898820368,1095.92510316545,819.2542455792101
1,All Population,5,Prevalence,78,Denmark,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,261.26532851329,311.90812786600003,208.38184211114
1,All Population,5,Prevalence,78,Denmark,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,3647.0022486646103,4366.96915874983,3145.4653927370796
1,All Population,5,Prevalence,78,Denmark,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,1069.4705392405701,1182.93975870505,960.0265087841999
1,All Population,5,Prevalence,78,Denmark,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,3092.64335631612,3550.24374764523,2627.29424105679
1,All Population,5,Prevalence,58,Estonia,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1996,784.72529723674,899.9343570718801,665.0325319829001
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,322.77219786755,396.19625160344003,255.76623150575
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,1659.8733279009798,2097.26597240245,1271.95809423603
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,674.18479355328,759.6023103562101,595.4060237497
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,2340.29410556679,2751.39692231774,1971.23916902226
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,692.00949404231,870.6288699532499,545.65072462232
1,All Population,5,Prevalence,91,Portugal,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,815.1832897336999,950.83973800584,683.36679911609
1,All Population,5,Prevalence,91,Portugal,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,315.53571130835,382.89604061959,252.56346163528002
1,All Population,5,Prevalence,91,Portugal,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,3077.24268382297,3752.2714512968796,2579.01568479501
1,All Population,5,Prevalence,91,Portugal,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,789.4374092805899,902.3132953918199,684.54722977949
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,6120.18316721925,6627.3376455955395,5589.94057772093
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,355.59412111702,466.40278312434,283.34147010109
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,767.95576948114,1557.58095359585,362.23339116307
