Country,Code,Year,Alcohol use disorders,Alzheimer's disease and other dementias,Anxiety disorders,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bipolar disorder,Conduct disorder,Depressive disorders,Drug use disorders,Schizophrenia,GDP per capita,Unemployment rate (%),Health expenditure (% GDP),Population,Gini index,Urban population (%),Internet users (% of population),Physicians per 100000,Suicide rate,Region
Latvia,LVA,2023,3404.01778618478,1434.49116575431,5101.34400848715,409.1574595327,670.31624781142,559.9275858454699,339.5950124979,3866.8085327269896,779.5725344792,280.55619478186,22710.2637544197,6.465,7.27783823,1883710.0,34.0,68.3586316343061,92.18791291,,,Baltics
Lithuania,LTU,2022,2834.29840652298,1352.79319852562,4442.34961005695,402.4761566062,784.46781243193,571.69918228395,314.29772450532,4648.56315757389,874.3355443553401,287.70346657057,24946.5724005188,5.955,7.24367952,2831639.0,36.6,68.2866452426813,87.72420219,446.6,,Baltics
Lithuania,LTU,2023,3039.10754570918,1344.55313419413,5035.19371712838,404.06129781986,790.04528288548,572.3017383174699,318.927520384,4733.512718324,866.75725675026,287.89790966621,27983.3658256887,6.841,7.31801939,2871585.0,36.0,68.575454583199,88.50287484,,,Baltics
Luxembourg,LUX,2022,2566.3171027392,808.9007970186,6603.20705875856,879.54171719471,830.01416634909,717.3586680808401,356.48558196774,4937.37137448875,995.16138059903,355.78661123569003,123719.658915996,4.588,5.60926914,653103.0,34.1,94.7605400940185,98.24203749,,,Western Europe/Nordics
Luxembourg,LUX,2023,2458.32432081651,813.1967620240399,7528.1913229145,878.43355661433,834.11567521425,717.61005658445,356.65285203644,5034.84193602494,992.46569676573,357.10903105380004,133230.619178899,5.184,5.78777981,666430.0,33.6,94.8015300320787,99.34785707,,,Western Europe/Nordics
Malta,MLT,2022,1764.30214207799,1261.61408784039,11425.32214911977,832.88433785677,814.42751488048,734.88021969028,294.39276070838,2840.32927581591,843.8182235539,374.57231400686,35658.8318250199,3.471,9.09105396,531113.0,34.6,95.6003155132879,91.54062209,451.3,,Mediterranean
Malta,MLT,2023,1827.41009892358,1279.38186395028,12721.91765435896,828.93972509031,818.0601034097399,734.91448786743,291.62773020378,2883.95174606937,831.0850259749401,377.78754768757,40932.5238774461,3.479,8.84301376,552747.0,31.8,95.6272277147965,92.07266941,,,Mediterranean
Netherlands,NLD,2022,1828.38973810838,1579.95442949831,10496.69656095878,1036.93205320715,822.07254660558,814.10558368828,351.85372205384,6508.41525464423,858.74280997387,415.73294819882,59123.318556487,3.526,10.03109169,17700982.0,,94.9856177734136,92.51968504,387.6,,Western Europe/Nordics
Netherlands,NLD,2023,1881.85995534658,1632.38653379254,12076.98011665636,999.85271556959,824.3749121297999,762.96555166677,347.81744113145,6898.98785083647,858.72686020397,415.73263920847,63515.6030780019,3.535,9.83150005,17877117.0,,95.3221682092129,97.00680272,,,Western Europe/Nordics
Poland,POL,2022,3807.9656042061897,1140.31791620308,4051.18076462006,418.38721438189,593.89291433357,571.47038820284,366.49654265285,3269.81778059228,661.34382288697,378.96564108294,18891.2121169279,2.811,6.46619797,36821749.0,28.9,59.8315488048321,86.94113479,342.4,,Eastern Europe
Poland,POL,2023,4075.13382923047,1145.64009052137,4612.5173380662,420.67192214584,597.88740694884,571.4322375194901,371.18718966145,3295.3610039264004,661.0284163261599,377.79771453976,22145.2660647429,2.743,7.13848782,36687353.0,28.5,59.8859561370214,86.414744,403.1,,Eastern Europe
Portugal,PRT,2022,3010.17739654841,1583.65929905784,11828.23624105865,752.5556754635701,750.22988345481,846.91234727479,314.61710513267,4945.60567764455,569.5792554839,351.58126454379,24620.5197587181,6.138,10.5492239,10434332.0,36.3,61.1259255772782,84.49690644,585.1,,Mediterranean
Portugal,PRT,2023,2888.63204916252,1645.84784934019,13290.91975574152,745.1850857216,753.15703623628,846.6515662771601,308.96812505185,4946.02435214198,557.29224104132,353.37179251579,27634.6183139773,6.498,10.02761173,10578174.0,33.9,61.2048652633664,85.79012676,,,Mediterranean
Romania,ROU,2022,2305.98384166797,1147.20985706922,5210.23779569745,423.96345173876,562.24253698063,653.7052158869001,356.43262046969,2614.90709676805,291.36913729664,358.5008873881,15503.4691366242,5.614,5.79823256,19048502.0,32.3,52.1634832477272,85.50309124,362.5,,Eastern Europe
Romania,ROU,2023,2482.4541831260103,1154.09893445225,6007.610156085981,423.33840526886,564.9342531385199,654.65100603392,357.6969810067,2663.17541245847,291.05317584136003,356.95776502507,18244.4186876321,5.589,5.70901489,19061062.0,29.8,52.1645747011867,89.20335498,,,Eastern Europe
Slovakia,SVK,2022,2670.20386589067,978.47378940879,5009.27793226696,422.71751567638006,579.18111090751,558.56588018687,327.78034751893,3062.04439170416,533.16250176204,375.13374387734,21317.7943982363,6.143,7.70245218,5431752.0,24.1,53.1902831072528,89.06766196,369.7,,Eastern Europe
Slovakia,SVK,2023,2787.09567353452,997.53040393072,5750.89679880725,421.18911166793,581.69008454452,558.42695593607,330.33885972679,3117.09537640554,526.90682978397,374.83004225143,24614.8734642794,5.843,7.35262203,5426740.0,23.8,53.190805019646,87.2131343,,,Eastern Europe
Slovenia,SVN,2022,3828.59120736687,1345.62030968223,6677.53189286138,404.09528573345,613.10859113092,559.58741527574,319.00456464579,3229.12410464899,645.53482318613,379.09814125127,28360.3041467268,4.011,9.62683296,2112076.0,24.3,55.3377817873563,88.91248552,336.7,,Eastern Europe
Slovenia,SVN,2023,4210.9253101507,1369.65590667809,7614.69730289599,404.02784525829,616.47040732793,559.3788968732999,322.69310492979,3285.622289637969,652.52445635751,377.63107480021,32660.4753581346,3.652,9.30008888,2120461.0,24.7,55.5378927789875,90.37794678,,,Eastern Europe
Spain,ESP,2022,1543.26377382322,1398.99888494056,7574.32983007108,1624.95258531559,852.7491748589,691.7527250585599,345.24458039454,4249.991227263869,1216.63195365418,286.01202973404,30319.4987196616,13.033,9.6799593,47786102.0,33.6,79.9548794567814,94.4855432,429.4,,Mediterranean
Spain,ESP,2023,1545.98300904584,1352.6819457443298,8518.62071355826,1618.34849916846,857.7498492392199,693.70367304814,343.81000869502,4546.83720020454,1248.45425738998,286.50725890247,33493.2225409111,12.179,9.2206583,48352528.0,33.4,80.128491001856,95.44564516,,,Mediterranean
Sweden,SWE,2022,2709.86593272463,1410.55795710399,6240.68096749522,838.77613865424,1008.37806342703,683.48872094653,397.68766094426,4888.62619930378,941.07133825167,285.90509759591004,54836.8907235124,7.417,10.85505676,10486941.0,31.6,88.4038576504809,95.00970335,,,Western Europe/Nordics
Sweden,SWE,2023,2675.36073146159,1452.6621535908,7083.06721107516,838.33771264011,1007.69411787318,684.04346251496,398.4375849219901,5021.59954555064,943.74198938682,285.66989605082,54950.2834725622,7.611,11.152915,10536632.0,29.3,88.631216160938,95.70327461,,,Western Europe/Nordics
